[02:31:09] [System] Gamepad Service Started (Multiprocess).
[02:31:13] [System] Session Started.
[02:31:13] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[02:32:22] [User] Iter 01 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] | pick=A | level=3 | EIG=0.920, Dist=2.000
[02:32:26] [User] Iter 02 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] | pick=B | level=4 | EIG=0.919, Dist=2.000
[02:32:29] [User] Iter 03 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] | pick=A | level=1 | EIG=0.917, Dist=2.000
[02:32:33] [User] Iter 04 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] | pick=A | level=2 | EIG=0.917, Dist=2.000
[02:32:38] [User] Iter 05 | A [I=0.20, T=L76%/R24%, R=0.30Hz, G=10% | s=20.0,80.5,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=B | level=4 | EIG=0.894, Dist=1.435
[02:32:42] [User] Iter 06 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] | pick=A | level=1 | EIG=0.886, Dist=1.414
[02:32:46] [User] Iter 07 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] | pick=A | level=2 | EIG=0.850, Dist=1.732
[02:32:51] [User] Iter 08 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] | pick=B | level=4 | EIG=0.845, Dist=1.414
[02:32:56] [User] Iter 09 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] | pick=A | level=1 | EIG=0.862, Dist=1.414
[02:33:03] [User] Iter 10 | A [I=0.20, T=L9%/R91%, R=0.30Hz, G=10% | s=20.0,27.2,20.0,20.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] | pick=B | level=4 | EIG=0.816, Dist=1.417
[02:33:10] [User] Iter 11 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] vs B [I=1.00, T=L45%/R55%, R=0.30Hz, G=70% | s=100.0,55.7,20.0,100.0] | pick=B | level=5 | EIG=0.835, Dist=1.519
[02:33:13] [User] Iter 12 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] vs B [I=0.20, T=L40%/R60%, R=0.30Hz, G=70% | s=20.0,52.3,20.0,100.0] | pick=A | level=1 | EIG=0.843, Dist=1.535
[02:33:21] [User] Iter 13 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] | pick=B | level=5 | EIG=0.823, Dist=1.732
[02:33:26] [User] Iter 14 | A [I=0.20, T=L82%/R18%, R=0.30Hz, G=10% | s=20.0,85.4,20.0,20.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] | pick=A | level=2 | EIG=0.809, Dist=1.426
[02:33:33] [User] Iter 15 | A [I=0.46, T=L0%/R100%, R=0.30Hz, G=40% | s=46.1,20.0,20.0,59.6] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] | pick=A | level=4 | EIG=0.782, Dist=1.303
[02:33:41] [User] Iter 16 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=99.5,100.0,20.0,100.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=B | level=3 | EIG=0.776, Dist=1.414
[02:33:56] [User] Iter 17 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] | pick=B | level=4 | EIG=0.774, Dist=1.414
[02:34:02] [User] Iter 18 | A [I=0.20, T=L54%/R46%, R=4.00Hz, G=70% | s=20.0,63.2,100.0,100.0] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] | pick=A | level=2 | EIG=0.773, Dist=1.514
[02:34:12] [User] Iter 19 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] | pick=B | level=4 | EIG=0.752, Dist=1.414
[02:34:21] [User] Iter 20 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=1.00, T=L66%/R34%, R=0.30Hz, G=10% | s=100.0,72.8,20.0,20.0] | pick=A | level=2 | EIG=0.678, Dist=1.560
[02:34:34] [User] Iter 21 | A [I=0.56, T=L100%/R0%, R=4.00Hz, G=70% | s=56.3,100.0,100.0,100.0] vs B [I=0.20, T=L70%/R30%, R=0.30Hz, G=70% | s=20.0,76.3,20.0,100.0] | pick=B | level=4 | EIG=0.672, Dist=1.137
[02:34:42] [User] Iter 22 | A [I=1.00, T=L47%/R53%, R=2.60Hz, G=46% | s=100.0,57.7,69.7,68.6] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] | pick=A | level=4 | EIG=0.653, Dist=1.317
[02:34:53] [User] Iter 23 | A [I=0.43, T=L100%/R0%, R=4.00Hz, G=31% | s=43.1,100.0,100.0,48.2] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] | pick=A | level=3 | EIG=0.628, Dist=1.486
